School,Team,Score,Place,Points,Medal,Advance,Year,Conference,Level,Bracket,Event
"McCamey H S, McCamey",1,672,1,10,X,Region,2010,1A,District,1,ACC
"Forsan HS, Forsan",1,250,2,5,X,Alternate,2010,1A,District,1,ACC
"Irion Co HS, Mertzon",1,198,3,,,,2010,1A,District,1,ACC
"Iraan H S, Iraan",1,126,4,,,,2010,1A,District,1,ACC
"Van Horn HS, Van Horn",1,443,1,10,X,Region,2010,1A,District,1,CAL
"Forsan HS, Forsan",1,436,2,5,X,Alternate,2010,1A,District,1,CAL
"McCamey H S, McCamey",1,386,3,,,,2010,1A,District,1,CAL
"Wink HS, Wink",1,317,4,,,,2010,1A,District,1,CAL
"Iraan H S, Iraan",1,117,5,,,,2010,1A,District,1,CAL
"Irion Co HS, Mertzon",1,116,6,,,,2010,1A,District,1,CAL
"Christoval HS, Christoval",1,58,7,,,,2010,1A,District,1,CAL
"Stanton H S, Stanton",1,0,8,,,,2010,1A,District,1,CAL
"Marfa HS, Marfa",1,-41,9,,,,2010,1A,District,1,CAL
"Wink HS, Wink",1,384,1,20,X,Region,2010,1A,District,1,CSC
"Irion Co HS, Mertzon",1,124,2,16,X,Alternate,2010,1A,District,1,CSC
"Forsan HS, Forsan",1,12,3,12,X,,2010,1A,District,1,CSC
"Iraan H S, Iraan",1,0,4,,,,2010,1A,District,1,CSC
"Iraan H S, Iraan",3,"Kenna Ledford , Kendrick Vela",1,20,X,State,2010,1A,District,1,CXD
"Forsan HS, Forsan",2,"Hope Cimino , Regan Newsom",2,16,X,State,2010,1A,District,1,CXD
"Wink HS, Wink",2,"Chad Boggess , Kristopher Plunkett",3,12,X,Alternate,2010,1A,District,1,CXD
"Iraan H S, Iraan",2,"Dillon Dees , Sarah Meek",4,10,X,,2010,1A,District,1,CXD
"Iraan H S, Iraan",1,58,1,10,X,Region,2010,1A,District,1,CIE
"Christoval HS, Christoval",1,47,2,5,X,Alternate,2010,1A,District,1,CIE
"Irion Co HS, Mertzon",1,41,3,,,,2010,1A,District,1,CIE
"Eldorado HS, Eldorado",1,33,4,,,,2010,1A,District,1,CIE
"McCamey H S, McCamey",1,32,5,,,,2010,1A,District,1,CIE
"Stanton H S, Stanton",1,32,5,,,,2010,1A,District,1,CIE
"Forsan HS, Forsan",1,31,7,,,,2010,1A,District,1,CIE
"Van Horn HS, Van Horn",1,26,8,,,,2010,1A,District,1,CIE
"Wink HS, Wink",1,26,8,,,,2010,1A,District,1,CIE
"Christoval HS, Christoval",1,1,10,X,,2010,1A,District,1,JRN
"Iraan H S, Iraan",1,2,5,X,,2010,1A,District,1,JRN
"Eldorado HS, Eldorado",1,3,,,,2010,1A,District,1,JRN
"Forsan HS, Forsan",1,4,,,,2010,1A,District,1,JRN
"Irion Co HS, Mertzon",1,5,,,,2010,1A,District,1,JRN
"McCamey H S, McCamey",1,6,,,,2010,1A,District,1,JRN
"Wink HS, Wink",1,7,,,,2010,1A,District,1,JRN
"Stanton H S, Stanton",1,8,,,,2010,1A,District,1,JRN
"Marfa HS, Marfa",1,9,,,,2010,1A,District,1,JRN
"Iraan H S, Iraan",1,121,1,10,X,Region,2010,1A,District,1,LIT
"Irion Co HS, Mertzon",1,105,2,5,X,Alternate,2010,1A,District,1,LIT
"Stanton H S, Stanton",1,93,3,,,,2010,1A,District,1,LIT
"Wink HS, Wink",1,88,4,,,,2010,1A,District,1,LIT
"McCamey H S, McCamey",1,82,5,,,,2010,1A,District,1,LIT
"Van Horn HS, Van Horn",1,74,6,,,,2010,1A,District,1,LIT
