School,Team,Score,Place,Points,Medal,Advance,Year,Conference,Level,Bracket,Event
"Gruver HS, Gruver",1,533,1,10,X,Region,2013,1A,District,1,ACC
"Stratford HS, Stratford",1,453,2,5,X,Alternate,2013,1A,District,1,ACC
"Panhandle H S, Panhandle",1,295,3,,,,2013,1A,District,1,ACC
"Gruver HS, Gruver",1,462,1,10,X,Region,2013,1A,District,1,CAL
"West Texas HS, Stinnett",1,345,2,5,X,Alternate,2013,1A,District,1,CAL
"Sunray H S, Sunray",1,240,3,,,,2013,1A,District,1,CAL
"Vega HS, Vega",1,120,4,,,,2013,1A,District,1,CAL
"Clarendon HS, Clarendon",1,113,5,,,,2013,1A,District,1,CAL
"Claude HS, Claude",1,96,6,,,,2013,1A,District,1,CAL
"White Deer HS, White Deer",1,96,6,,,,2013,1A,District,1,CAL
"Booker HS, Booker",1,727,1,20,X,Region,2013,1A,District,1,CSC
"Stratford HS, Stratford",1,357,2,16,X,Alternate,2013,1A,District,1,CSC
"West Texas HS, Stinnett",1,70,3,12,X,,2013,1A,District,1,CSC
"Vega HS, Vega",1,62,4,,,,2013,1A,District,1,CSC
"Gruver HS, Gruver",1,-12,5,,,,2013,1A,District,1,CSC
"West Texas HS, Stinnett",1,"Devin DeLapp , Aaliyah Sun",1,20,X,State,2013,1A,District,1,CXD
"Panhandle H S, Panhandle",1,Andrew Jones Meghan Ray,2,16,X,State,2013,1A,District,1,CXD
"Panhandle H S, Panhandle",3,Christian Cooke AJ Stamps,3,12,X,Alternate,2013,1A,District,1,CXD
"Panhandle H S, Panhandle",2,Adam Jones Shelby Schillin,4,10,X,,2013,1A,District,1,CXD
"West Texas HS, Stinnett",2,"Raylee Hopkins , Cassi Layton",5,,,,2013,1A,District,1,CXD
"Stratford HS, Stratford",1,"Adrian Du Plessis , Mary Ann Spurlock",6,,,,2013,1A,District,1,CXD
"West Texas HS, Stinnett",1,55,1,10,X,Region,2013,1A,District,1,CIE
"White Deer HS, White Deer",1,51,2,5,X,Alternate,2013,1A,District,1,CIE
"Clarendon HS, Clarendon",1,42,3,,,,2013,1A,District,1,CIE
"Panhandle H S, Panhandle",1,41,4,,,,2013,1A,District,1,CIE
"Gruver HS, Gruver",1,38,5,,,,2013,1A,District,1,CIE
"Clarendon HS, Clarendon",1,1,10,X,,2013,1A,District,1,JRN
"West Texas HS, Stinnett",1,2,5,X,,2013,1A,District,1,JRN
"Claude HS, Claude",1,3,,,,2013,1A,District,1,JRN
"Gruver HS, Gruver",1,4,,,,2013,1A,District,1,JRN
"Stratford HS, Stratford",1,5,,,,2013,1A,District,1,JRN
"Gruver HS, Gruver",1,136,1,10,X,Region,2013,1A,District,1,LIT
"Claude HS, Claude",1,126,2,5,X,Alternate,2013,1A,District,1,LIT
"West Texas HS, Stinnett",1,123,3,,,,2013,1A,District,1,LIT
"Clarendon HS, Clarendon",1,115,4,,,,2013,1A,District,1,LIT
"Stratford HS, Stratford",1,108,5,,,,2013,1A,District,1,LIT
"Gruver HS, Gruver",1,192,1,10,X,Region,2013,1A,District,1,MTH
"Vega HS, Vega",1,162,2,5,X,Alternate,2013,1A,District,1,MTH
"West Texas HS, Stinnett",1,126,3,,,,2013,1A,District,1,MTH
"Stratford HS, Stratford",1,104,4,,,,2013,1A,District,1,MTH
"Clarendon HS, Clarendon",1,92,5,,,,2013,1A,District,1,MTH
"White Deer HS, White Deer",1,88,6,,,,2013,1A,District,1,MTH
"Claude HS, Claude",1,58,7,,,,2013,1A,District,1,MTH
"West Texas HS, Stinnett",1,237,1,10,X,Region,2013,1A,District,1,NUM
"Booker HS, Booker",1,150,2,5,X,Alternate,2013,1A,District,1,NUM
"Gruver HS, Gruver",1,136,3,,,,2013,1A,District,1,NUM
"Vega HS, Vega",1,118,4,,,,2013,1A,District,1,NUM
"Panhandle H S, Panhandle",1,92,5,,,,2013,1A,District,1,NUM
"White Deer HS, White Deer",1,90,6,,,,2013,1A,District,1,NUM
"Clarendon HS, Clarendon",1,64,7,,,,2013,1A,District,1,NUM
"Stratford HS, Stratford",1,1,42,X,Region,2013,1A,District,1,OAP
"West Texas HS, Stinnett",1,1,34,X,Region,2013,1A,District,1,OAP
"Panhandle H S, Panhandle",1,3,35,,Alternate,2013,1A,District,1,OAP
"Panhandle H S, Panhandle",1,316,1,10,X,Region,2013,1A,District,1,SCI
"Clarendon HS, Clarendon",1,296,2,5,X,Alternate,2013,1A,District,1,SCI
"Stratford HS, Stratford",1,202,3,,,,2013,1A,District,1,SCI
"Gruver HS, Gruver",1,180,4,,,,2013,1A,District,1,SCI
"West Texas HS, Stinnett",1,180,4,,,,2013,1A,District,1,SCI
"White Deer HS, White Deer",1,174,6,,,,2013,1A,District,1,SCI
"Vega HS, Vega",1,152,7,,,,2013,1A,District,1,SCI
"Stratford HS, Stratford",1,144,1,10,X,Region,2013,1A,District,1,SOC
"Gruver HS, Gruver",1,133,2,5,X,Alternate,2013,1A,District,1,SOC
"Clarendon HS, Clarendon",1,123,3,,,,2013,1A,District,1,SOC
"Claude HS, Claude",1,114,4,,,,2013,1A,District,1,SOC
"White Deer HS, White Deer",1,102,5,,,,2013,1A,District,1,SOC
"West Texas HS, Stinnett",1,89,6,,,,2013,1A,District,1,SOC
"West Texas HS, Stinnett",1,1,10,X,,2013,1A,District,1,SPE
"Panhandle H S, Panhandle",1,2,5,X,,2013,1A,District,1,SPE
"Gruver HS, Gruver",1,3,,,,2013,1A,District,1,SPE
"Stratford HS, Stratford",1,4,,,,2013,1A,District,1,SPE
"Clarendon HS, Clarendon",1,5,,,,2013,1A,District,1,SPE
"Claude HS, Claude",1,6,,,,2013,1A,District,1,SPE
"Gruver HS, Gruver",1,223,1,10,X,Region,2013,1A,District,1,SPV
"West Texas HS, Stinnett",1,156,2,5,X,Alternate,2013,1A,District,1,SPV
"Stratford HS, Stratford",1,144,3,,,,2013,1A,District,1,SPV
"Clarendon HS, Clarendon",1,125,4,,,,2013,1A,District,1,SPV
"Panhandle H S, Panhandle",1,122,5,,,,2013,1A,District,1,SPV
"White Deer HS, White Deer",1,122,5,,,,2013,1A,District,1,SPV
"Vega HS, Vega",1,80,7,,,,2013,1A,District,1,SPV
"Miami H S, Miami",1,289,1,10,X,Region,2013,1A,District,2,ACC
"Fort Elliott HS, Briscoe",1,277,2,5,X,Alternate,2013,1A,District,2,ACC
"Follett HS, Follett",1,181,3,,,,2013,1A,District,2,ACC
"Kelton HS, Wheeler",1,163,1,7.50,X,Region,2013,1A,District,2,CAL
"Kress H S, Kress",1,163,1,7.50,X,Region,2013,1A,District,2,CAL
"Follett HS, Follett",1,127,3,,,Alternate,2013,1A,District,2,CAL
"Darrouzett,",1,38,4,,,,2013,1A,District,2,CAL
"Fort Elliott HS, Briscoe",1,-33,5,,,,2013,1A,District,2,CAL
"Follett HS, Follett",1,-2,1,20,X,Region,2013,1A,District,2,CSC
"Silverton HS, Silverton",1,-8,2,16,X,Alternate,2013,1A,District,2,CSC
"McLean H S, McLean",2,"Jasmine Montoya , Charlie Webb",1,20,X,State,2013,1A,District,2,CXD
"McLean H S, McLean",1,"Haley Macina , Miranda McMordie",2,16,X,State,2013,1A,District,2,CXD
"Fort Elliott HS, Briscoe",1,49,1,10,X,Region,2013,1A,District,2,CIE
"Follett HS, Follett",1,43,2,5,X,Alternate,2013,1A,District,2,CIE
"Silverton HS, Silverton",1,41,3,,,,2013,1A,District,2,CIE
"Hedley H S, Hedley",1,40,4,,,,2013,1A,District,2,CIE
"Darrouzett,",1,32,5,,,,2013,1A,District,2,CIE
"Follett HS, Follett",1,1,,X,,2013,1A,District,2,JRN
"Groom HS, Groom",1,2,,X,,2013,1A,District,2,JRN
"Silverton HS, Silverton",1,3,,,,2013,1A,District,2,JRN
"Hedley H S, Hedley",1,4,,,,2013,1A,District,2,JRN
"Valley HS, Turkey",1,5,,,,2013,1A,District,2,JRN
"McLean H S, McLean",1,6,,,,2013,1A,District,2,JRN
"McLean H S, McLean",1,104,1,10,X,Region,2013,1A,District,2,LIT
"Kelton HS, Wheeler",1,89,2,5,X,Alternate,2013,1A,District,2,LIT
"Higgins H S,",1,76,3,,,,2013,1A,District,2,LIT
"Miami H S, Miami",1,204,1,10,X,Region,2013,1A,District,2,MTH
"Groom HS, Groom",1,166,2,5,X,Alternate,2013,1A,District,2,MTH
"Follett HS, Follett",1,128,3,,,,2013,1A,District,2,MTH
"Hedley H S, Hedley",1,102,4,,,,2013,1A,District,2,MTH
"Silverton HS, Silverton",1,58,5,,,,2013,1A,District,2,MTH
"Follett HS, Follett",1,114,1,10,X,Region,2013,1A,District,2,NUM
"Silverton HS, Silverton",1,66,2,5,X,Alternate,2013,1A,District,2,NUM
"Kelton HS, Wheeler",1,65,3,,,,2013,1A,District,2,NUM
"Groom HS, Groom",1,51,4,,,,2013,1A,District,2,NUM
"Hedley H S, Hedley",1,26,5,,,,2013,1A,District,2,NUM
"Lefors H S, Lefors",1,-19,6,,,,2013,1A,District,2,NUM
"Fort Elliott HS, Briscoe",1,142,1,10,X,Region,2013,1A,District,2,SCI
"Follett HS, Follett",1,120,2,5,X,Alternate,2013,1A,District,2,SCI
"Hedley H S, Hedley",1,102,3,,,,2013,1A,District,2,SCI
"Lefors H S, Lefors",1,84,4,,,,2013,1A,District,2,SCI
"Miami H S, Miami",1,68,5,,,,2013,1A,District,2,SCI
"Kelton HS, Wheeler",1,52,6,,,,2013,1A,District,2,SCI
"Silverton HS, Silverton",1,40,7,,,,2013,1A,District,2,SCI
"Hedley H S, Hedley",1,119,1,10,X,Region,2013,1A,District,2,SOC
"Valley HS, Turkey",1,112,2,5,X,Alternate,2013,1A,District,2,SOC
"Silverton HS, Silverton",1,81,3,,,,2013,1A,District,2,SOC
"Follett HS, Follett",1,80,4,,,,2013,1A,District,2,SOC
"Lefors H S, Lefors",1,65,5,,,,2013,1A,District,2,SOC
"Fort Elliott HS, Briscoe",1,49,6,,,,2013,1A,District,2,SOC
"McLean H S, McLean",1,43,7,,,,2013,1A,District,2,SOC
"Fort Elliott HS, Briscoe",1,1,10,X,,2013,1A,District,2,SPE
"McLean H S, McLean",1,2,5,X,,2013,1A,District,2,SPE
"Follett HS, Follett",1,3,,,,2013,1A,District,2,SPE
"Kelton HS, Wheeler",1,4,,,,2013,1A,District,2,SPE
"Valley HS, Turkey",1,5,,,,2013,1A,District,2,SPE
"Silverton HS, Silverton",1,6,,,,2013,1A,District,2,SPE
"Groom HS, Groom",1,7,,,,2013,1A,District,2,SPE
"Miami H S, Miami",1,8,,,,2013,1A,District,2,SPE
"Valley HS, Turkey",1,116,1,10,X,Region,2013,1A,District,2,SPV
"Silverton HS, Silverton",1,108,2,5,X,Alternate,2013,1A,District,2,SPV
"Groom HS, Groom",1,107,3,,,,2013,1A,District,2,SPV
"Darrouzett,",1,102,4,,,,2013,1A,District,2,SPV
"Miami H S, Miami",1,84,5,,,,2013,1A,District,2,SPV
"Wellington HS, Wellington",1,849,1,10,X,Region,2013,1A,District,3,ACC
"Lockney H S, Lockney",1,422,2,5,X,Alternate,2013,1A,District,3,ACC
"Wheeler HS, Wheeler",1,272,3,,,,2013,1A,District,3,ACC
"Quanah HS, Quanah",1,344,1,10,X,Region,2013,1A,District,3,CAL
"Hale Center HS, Hale Center",1,210,2,5,X,Alternate,2013,1A,District,3,CAL
"Lockney H S, Lockney",1,132,3,,,,2013,1A,District,3,CAL
"Ralls H S, Ralls",1,130,4,,,,2013,1A,District,3,CAL
"Wheeler HS, Wheeler",1,121,5,,,,2013,1A,District,3,CAL
"Crosbyton H S, Crosbyton",1,7,6,,,,2013,1A,District,3,CAL
"Lockney H S, Lockney",1,64,1,20,X,Region,2013,1A,District,3,CSC
"Crosbyton H S, Crosbyton",1,56,2,16,X,Alternate,2013,1A,District,3,CSC
"Quanah HS, Quanah",1,"Matthew Leal , Justin Turner",1,20,X,State,2013,1A,District,3,CXD
"New Deal H S, New Deal",1,"Hagen Bufe , Austin Fahrlender",2,16,X,State,2013,1A,District,3,CXD
"Quanah HS, Quanah",4,"Avery Fuqua , Jackson Sparkman",3,12,X,Alternate,2013,1A,District,3,CXD
"New Deal H S, New Deal",2,"Joey Bell , Dylan Massey",4,10,X,,2013,1A,District,3,CXD
"Lockney H S, Lockney",1,46,1,10,X,Region,2013,1A,District,3,CIE
"Memphis HS, Memphis",1,43,2,5,X,Alternate,2013,1A,District,3,CIE
"New Deal H S, New Deal",1,41,3,,,,2013,1A,District,3,CIE
"Crosbyton H S, Crosbyton",1,40,4,,,,2013,1A,District,3,CIE
"Quanah HS, Quanah",1,40,4,,,,2013,1A,District,3,CIE
"Wheeler HS, Wheeler",1,1,10,X,,2013,1A,District,3,JRN
"Lockney H S, Lockney",1,2,5,X,,2013,1A,District,3,JRN
"Hale Center HS, Hale Center",1,3,,,,2013,1A,District,3,JRN
"New Deal H S, New Deal",1,3,,,,2013,1A,District,3,JRN
"Quanah HS, Quanah",1,3,,,,2013,1A,District,3,JRN
"Ralls H S, Ralls",1,6,,,,2013,1A,District,3,JRN
"Quanah HS, Quanah",1,223,1,10,X,Region,2013,1A,District,3,LIT
"Lockney H S, Lockney",1,221,2,5,X,Alternate,2013,1A,District,3,LIT
"Hale Center HS, Hale Center",1,133,3,,,,2013,1A,District,3,LIT
"Wheeler HS, Wheeler",1,152,1,10,X,Region,2013,1A,District,3,MTH
"Quanah HS, Quanah",1,126,2,5,X,Alternate,2013,1A,District,3,MTH
"Crosbyton H S, Crosbyton",1,124,3,,,,2013,1A,District,3,MTH
"Lockney H S, Lockney",1,114,4,,,,2013,1A,District,3,MTH
"Ralls H S, Ralls",1,112,5,,,,2013,1A,District,3,MTH
"Hale Center HS, Hale Center",1,100,6,,,,2013,1A,District,3,MTH
"New Deal H S, New Deal",1,56,7,,,,2013,1A,District,3,MTH
