School,Team,Score,Place,Points,Medal,Advance,Year,Conference,Level,Bracket,Event
"Channing H S, Channing",1,1,38,X,Region,2004,1A,District,1,OAP
"Higgins H S,",1,1,38,X,Region,2004,1A,District,1,OAP
"Follett H S, Follett",1,3,35,,Alternate,2004,1A,District,1,OAP
"Sunray H S, Sunray",1,660,1,10,X,Region,2004,1A,District,2,ACC
"Stratford H S, Stratford",1,563,2,5,X,Alternate,2004,1A,District,2,ACC
"Wellington H S, Wellington",1,557,3,,,,2004,1A,District,2,ACC
"Gruver H S, Gruver",1,553,4,,,,2004,1A,District,2,ACC
"Booker H S, Booker",1,335,5,,,,2004,1A,District,2,ACC
"Gruver H S, Gruver",1,509,1,10,X,Region,2004,1A,District,2,CAL
"Wheeler H S, Wheeler",1,490,2,5,X,Alternate,2004,1A,District,2,CAL
"Vega H S, Vega",1,317,3,,,,2004,1A,District,2,CAL
"Memphis H S, Memphis",1,304,4,,,,2004,1A,District,2,CAL
"Stratford H S, Stratford",1,293,5,,,,2004,1A,District,2,CAL
"Clarendon H S, Clarendon",1,228,6,,,,2004,1A,District,2,CAL
"Shamrock H S, Shamrock",1,208,7,,,,2004,1A,District,2,CAL
"Booker H S, Booker",1,162,8,,,,2004,1A,District,2,CAL
"White Deer H S, White Deer",1,98,1,10,X,Region,2004,1A,District,2,CSC
"Booker H S, Booker",1,30,2,5,X,Alternate,2004,1A,District,2,CSC
"Booker H S, Booker",1,54,1,10,X,Region,2004,1A,District,2,CIE
"Clarendon H S, Clarendon",1,50,2,5,X,Alternate,2004,1A,District,2,CIE
"Shamrock H S, Shamrock",1,49,3,,,,2004,1A,District,2,CIE
"Stratford H S, Stratford",1,42,4,,,,2004,1A,District,2,CIE
"Claude H S, Claude",1,38,5,,,,2004,1A,District,2,CIE
"White Deer H S, White Deer",1,21,6,,,,2004,1A,District,2,CIE
"Claude H S, Claude",1,1,10,X,,2004,1A,District,2,JRN
"Clarendon H S, Clarendon",1,2,5,X,,2004,1A,District,2,JRN
"White Deer H S, White Deer",1,3,,,,2004,1A,District,2,JRN
"Stratford H S, Stratford",1,4,,,,2004,1A,District,2,JRN
"Wheeler H S, Wheeler",1,5,,,,2004,1A,District,2,JRN
"Memphis H S, Memphis",1,6,,,,2004,1A,District,2,JRN
"Booker H S, Booker",1,7,,,,2004,1A,District,2,JRN
"Sunray H S, Sunray",1,8,,,,2004,1A,District,2,JRN
"Shamrock H S, Shamrock",1,8,,,,2004,1A,District,2,JRN
"Wheeler H S, Wheeler",1,189,1,10,X,Region,2004,1A,District,2,LIT
"Clarendon H S, Clarendon",1,171,2,5,X,Alternate,2004,1A,District,2,LIT
"Gruver H S, Gruver",1,145,3,,,,2004,1A,District,2,LIT
"Sunray H S, Sunray",1,140,4,,,,2004,1A,District,2,LIT
"Stratford H S, Stratford",1,112,5,,,,2004,1A,District,2,LIT
"Wheeler H S, Wheeler",1,270,1,10,X,Region,2004,1A,District,2,MTH
"Vega H S, Vega",1,178,2,5,X,Alternate,2004,1A,District,2,MTH
"Gruver H S, Gruver",1,176,3,,,,2004,1A,District,2,MTH
"Clarendon H S, Clarendon",1,170,4,,,,2004,1A,District,2,MTH
"Wellington H S, Wellington",1,158,5,,,,2004,1A,District,2,MTH
"Shamrock H S, Shamrock",1,128,6,,,,2004,1A,District,2,MTH
"White Deer H S, White Deer",1,126,7,,,,2004,1A,District,2,MTH
