School,Team,Score,Place,Points,Medal,Advance,Year,Conference,Level,Bracket,Event
"Eldorado HS, Eldorado",1,606,1,10,X,Region,2009,1A,District,1,ACC
"McCamey H S, McCamey",1,580,2,5,X,Alternate,2009,1A,District,1,ACC
"Irion Co HS, Mertzon",1,439,3,,,,2009,1A,District,1,ACC
"Forsan HS, Forsan",1,380,4,,,,2009,1A,District,1,ACC
"Wink HS, Wink",1,364,5,,,,2009,1A,District,1,ACC
"Van Horn HS, Van Horn",1,457,1,10,X,Region,2009,1A,District,1,CAL
"Forsan HS, Forsan",1,429,2,5,X,Alternate,2009,1A,District,1,CAL
"McCamey H S, McCamey",1,359,3,,,,2009,1A,District,1,CAL
"Wink HS, Wink",1,287,4,,,,2009,1A,District,1,CAL
"Iraan H S, Iraan",1,192,5,,,,2009,1A,District,1,CAL
"Irion Co HS, Mertzon",1,130,6,,,,2009,1A,District,1,CAL
"Christoval HS, Christoval",1,123,7,,,,2009,1A,District,1,CAL
"Fort Hancock HS, Fort Hancock",1,-166,8,,,,2009,1A,District,1,CAL
"Wink HS, Wink",1,102,1,10,X,Region,2009,1A,District,1,CSC
"Irion Co HS, Mertzon",1,80,2,5,X,Alternate,2009,1A,District,1,CSC
"Iraan H S, Iraan",1,"Dillon Dees , Samantha Klassen",1,20,X,State,2009,1A,District,1,CXD
"Wink HS, Wink",1,"Haley Evans , Wade Rogers",2,16,X,State,2009,1A,District,1,CXD
"Christoval HS, Christoval",1,"Zach Ellis , Whitney Upton",3,12,X,Alternate,2009,1A,District,1,CXD
"Forsan HS, Forsan",2,"Hope Cimino , Eric Ochoa",4,10,X,,2009,1A,District,1,CXD
"Christoval HS, Christoval",1,47,1,10,X,Region,2009,1A,District,1,CIE
"Eldorado HS, Eldorado",1,41,2,5,X,Alternate,2009,1A,District,1,CIE
"Forsan HS, Forsan",1,36,3,,,,2009,1A,District,1,CIE
"Iraan H S, Iraan",1,35,4,,,,2009,1A,District,1,CIE
"Irion Co HS, Mertzon",1,33,5,,,,2009,1A,District,1,CIE
"Wink HS, Wink",1,27,6,,,,2009,1A,District,1,CIE
"Stanton H S, Stanton",1,22,7,,,,2009,1A,District,1,CIE
"Christoval HS, Christoval",1,1,10,X,,2009,1A,District,1,JRN
"Eldorado HS, Eldorado",1,2,5,X,,2009,1A,District,1,JRN
"Irion Co HS, Mertzon",1,3,,,,2009,1A,District,1,JRN
"McCamey H S, McCamey",1,4,,,,2009,1A,District,1,JRN
"Wink HS, Wink",1,5,,,,2009,1A,District,1,JRN
"Iraan H S, Iraan",1,6,,,,2009,1A,District,1,JRN
"Forsan HS, Forsan",1,7,,,,2009,1A,District,1,JRN
"Stanton H S, Stanton",1,8,,,,2009,1A,District,1,JRN
"Christoval HS, Christoval",1,141,1,10,X,Region,2009,1A,District,1,LIT
"Irion Co HS, Mertzon",1,122,2,5,X,Alternate,2009,1A,District,1,LIT
"Iraan H S, Iraan",1,114,3,,,,2009,1A,District,1,LIT
"Forsan HS, Forsan",1,110,4,,,,2009,1A,District,1,LIT
"Stanton H S, Stanton",1,94,5,,,,2009,1A,District,1,LIT
"Wink HS, Wink",1,83,6,,,,2009,1A,District,1,LIT
"Irion Co HS, Mertzon",1,228,1,10,X,Region,2009,1A,District,1,MTH
"Stanton H S, Stanton",1,178,2,5,X,Alternate,2009,1A,District,1,MTH
"Forsan HS, Forsan",1,154,3,,,,2009,1A,District,1,MTH
"McCamey H S, McCamey",1,152,4,,,,2009,1A,District,1,MTH
"Eldorado HS, Eldorado",1,150,5,,,,2009,1A,District,1,MTH
"Iraan H S, Iraan",1,124,6,,,,2009,1A,District,1,MTH
"Wink HS, Wink",1,114,7,,,,2009,1A,District,1,MTH
"Christoval HS, Christoval",1,90,8,,,,2009,1A,District,1,MTH
"Van Horn HS, Van Horn",1,80,9,,,,2009,1A,District,1,MTH
"Forsan HS, Forsan",1,154,1,10,X,Region,2009,1A,District,1,NUM
"McCamey H S, McCamey",1,141,2,5,X,Alternate,2009,1A,District,1,NUM
"Van Horn HS, Van Horn",1,134,3,,,,2009,1A,District,1,NUM
"Stanton H S, Stanton",1,129,4,,,,2009,1A,District,1,NUM
"Iraan H S, Iraan",1,120,5,,,,2009,1A,District,1,NUM
"Wink HS, Wink",1,117,6,,,,2009,1A,District,1,NUM
